"symb","open_time","high","low","close","volume","close_time","quote_asset_vol","num_trades","takerbuy_baseasset_vol","takerbuy_quoteasset_vol"
"BTCUSDT","2021-02-27T00:00:00.000000Z",48394.0,45000.0,46106.43,66060.834292,"2021-02-27T23:59:59.999999Z",3.105897438550972E9,1757720,31987.019646999997,1.5050121109495978E9
"BTCUSDT","2021-02-28T00:00:00.000000Z",46638.46,43000.0,45135.66,83055.36904199999,"2021-02-28T23:59:59.999999Z",3.7083599654545813E9,1838345,40688.171850000006,1.817797446602381E9
"BTCUSDT","2021-03-01T00:00:00.000000Z",49790.0,44950.53,49587.03,85086.11164799999,"2021-03-01T23:59:59.999999Z",4.057515794865728E9,2147223,42616.994361,2.032566685614307E9
"BTCUSDT","2021-03-02T00:00:00.000000Z",50200.0,47047.600000000006,48440.65,64221.06214,"2021-03-02T23:59:59.999999Z",3.120472069909453E9,1855583,31377.038076999997,1.5251453701435206E9
"BTCUSDT","2021-03-03T00:00:00.000000Z",52640.0,48100.71,50349.37,81035.913705,"2021-03-03T23:59:59.999999Z",4.1095212575407004E9,2242131,40955.368399,2.0775868986782103E9
"BTCUSDT","2021-03-04T00:00:00.000000Z",51773.880000000005,47500.0,48374.090000000004,82649.716829,"2021-03-04T23:59:59.999999Z",4.079837240856762E9,2291936,40269.977888,1.9879555548048143E9
"BTCUSDT","2021-03-05T00:00:00.000000Z",49448.93,46300.0,48751.71,78192.496372,"2021-03-05T23:59:59.999999Z",3.7271331048373103E9,2054216,38318.310377,1.827025012217549E9
"BTCUSDT","2021-03-06T00:00:00.000000Z",49200.0,47070.0,48882.200000000004,44399.234242,"2021-03-06T23:59:59.999999Z",2.1439107052915032E9,1476474,21500.615617,1.0383658729799547E9
"BTCUSDT","2021-03-07T00:00:00.000000Z",51450.03,48882.200000000004,50971.75,55235.028031999995,"2021-03-07T23:59:59.999999Z",2.7788759094491262E9,1758101,27885.596964,1.4027828797211535E9
"BTCUSDT","2021-03-08T00:00:00.000000Z",52402.78,49274.67,52375.17,66987.359664,"2021-03-08T23:59:59.999999Z",3.4008479310360737E9,1999401,33595.42957,1.7061177981054995E9
